transaction_id,date,time,product_id,product_name,category,quantity_sold,unit_price,unit_type,current_stock,reorder_point,is_payday_period,promo_flag,remarks
TXN-00060,7/2/2025,16:25,P036,Gardenia Tasty Bread,Bread & Bakery,1,78,Loaf,149,18,0,0,Regular sale
TXN-00061,7/2/2025,16:40,P020,Chippy BBQ 27g,"Snacks, Biscuits & Sweets",3,8,Pack,402,45,0,0,Regular sale
TXN-00062,7/2/2025,16:55,P007,Lucky Me Pancit Canton,"Noodles, Pasta & Canned Goods",6,17,Pack,608,75,0,0,Regular sale
TXN-00063,7/2/2025,17:05,P009,Mega Sardines 155g,"Noodles, Pasta & Canned Goods",7,23,Can,346,45,0,0,Regular sale
TXN-00064,7/2/2025,17:10,P042,Joy Dishwashing Sachet,Laundry & Cleaning,3,8,Sachet,371,40,0,0,Regular sale
TXN-00065,7/2/2025,17:25,P048,GCash Cash-In Service,Mobile Load & Digital Services,6,10,Service,998,120,0,0,Regular sale
TXN-00066,7/2/2025,18:30,P029,Rice per Kilo,Rice & Staples,6,48,Kilo,770,80,0,0,Regular sale
TXN-00067,7/2/2025,18:35,P017,SkyFlakes Crackers,"Snacks, Biscuits & Sweets",5,9,Pack,340,40,0,0,Regular sale
TXN-00068,7/2/2025,18:55,P006,Energen Vanilla Sachet,Coffee & Breakfast Items,1,10,Sachet,315,35,0,0,Regular sale
TXN-00069,7/2/2025,18:55,P040,Ariel Detergent Sachet,Laundry & Cleaning,8,8,Sachet,483,55,0,0,Regular sale
TXN-00070,7/2/2025,19:05,P046,Palmolive Shampoo Sachet,Personal Care,4,7,Sachet,353,40,0,0,Regular sale
TXN-00071,7/2/2025,19:10,P032,Cooking Oil 250ml,"Condiments, Sauces & Cooking Needs",1,38,Bottle,269,30,0,0,Regular sale
TXN-00072,7/2/2025,19:30,P033,Silver Swan Soy Sauce,"Condiments, Sauces & Cooking Needs",2,23,Bottle,254,30,0,0,Regular sale
TXN-00073,7/2/2025,19:55,P022,Mineral Water 500ml,Drinks & Powdered Beverages,7,12,Bottle,746,80,0,0,Regular sale
TXN-00074,7/2/2025,20:15,P031,White Sugar 1/2 Kilo,Rice & Staples,1,38,Pack,318,35,0,0,Regular sale
TXN-00075,7/3/2025,8:50,P008,Lucky Me Beef Noodles,"Noodles, Pasta & Canned Goods",5,11,Pack,500,55,0,0,Regular sale
TXN-00076,7/3/2025,9:15,P014,Piattos Cheese 40g,"Snacks, Biscuits & Sweets",7,18,Pack,497,60,0,0,Regular sale
TXN-00077,7/3/2025,10:30,P004,Bear Brand Powdered Milk,Coffee & Breakfast Items,3,13,Sachet,352,40,0,0,Regular sale
TXN-00078,7/3/2025,10:55,P020,Chippy BBQ 27g,"Snacks, Biscuits & Sweets",5,8,Pack,397,45,0,0,Regular sale
TXN-00079,7/3/2025,11:00,P034,Datu Puti Vinegar 350ml,"Condiments, Sauces & Cooking Needs",4,18,Bottle,235,25,0,0,Regular sale
TXN-00080,7/3/2025,11:15,P006,Energen Vanilla Sachet,Coffee & Breakfast Items,7,10,Sachet,308,35,0,0,Regular sale
TXN-00081,7/3/2025,11:30,P028,Tang Orange Sachet,Drinks & Powdered Beverages,1,20,Sachet,257,30,0,0,Regular sale
TXN-00082,7/3/2025,11:35,P037,Egg Medium,"Eggs, Chilled & Frozen Items",6,9,Piece,748,90,0,0,Regular sale
TXN-00083,7/3/2025,11:50,P026,C2 Green Tea 355ml,Drinks & Powdered Beverages,1,20,Bottle,293,35,0,0,Regular sale
TXN-00084,7/3/2025,12:00,P048,GCash Cash-In Service,Mobile Load & Digital Services,4,10,Service,998,120,0,0,Regular sale
TXN-00085,7/3/2025,12:25,P042,Joy Dishwashing Sachet,Laundry & Cleaning,3,8,Sachet,368,40,0,0,Regular sale
TXN-00086,7/3/2025,12:25,P045,Colgate Sachet,Personal Care,1,7,Sachet,328,35,0,0,Regular sale
TXN-00087,7/3/2025,13:45,P011,555 Tuna Afritada 155g,"Noodles, Pasta & Canned Goods",4,32,Can,230,25,0,0,Regular sale
TXN-00088,7/3/2025,14:05,P005,Great Taste White Sachet,Coffee & Breakfast Items,11,12,Sachet,432,50,0,0,Regular sale
TXN-00089,7/3/2025,14:10,P033,Silver Swan Soy Sauce,"Condiments, Sauces & Cooking Needs",1,23,Bottle,253,30,0,0,Regular sale
TXN-00090,7/3/2025,14:20,P021,Rebisco Crackers,"Snacks, Biscuits & Sweets",4,8,Pack,322,35,0,0,Regular sale
TXN-00091,7/3/2025,14:35,P023,Coca-Cola 1.5L,Drinks & Powdered Beverages,1,75,Bottle,259,35,0,0,Regular sale
TXN-00092,7/3/2025,14:40,P025,Royal Tru-Orange 1.5L,Drinks & Powdered Beverages,1,75,Bottle,225,25,0,0,Regular sale
TXN-00093,7/3/2025,14:40,P027,Zesto Orange 200ml,Drinks & Powdered Beverages,10,12,Pack,410,45,0,0,Regular sale
TXN-00094,7/3/2025,14:45,P035,Magic Sarap Sachet,"Condiments, Sauces & Cooking Needs",6,5,Sachet,480,50,0,0,Regular sale
TXN-00095,7/3/2025,16:00,P039,Eden Cheese 160g,"Eggs, Chilled & Frozen Items",2,68,Pack,158,20,0,0,Regular sale
TXN-00096,7/3/2025,16:25,P049,Face Mask 5pcs,Personal Care,3,20,Pack,186,20,0,0,Regular sale
TXN-00097,7/3/2025,16:45,P016,Cloud 9 Classic,"Snacks, Biscuits & Sweets",4,10,Piece,419,50,0,0,Regular sale
TXN-00098,7/3/2025,16:50,P032,Cooking Oil 250ml,"Condiments, Sauces & Cooking Needs",1,38,Bottle,268,30,0,0,Regular sale
TXN-00099,7/3/2025,17:05,P041,Surf Detergent Sachet,Laundry & Cleaning,3,7,Sachet,492,55,0,0,Regular sale
TXN-00100,7/3/2025,17:10,P024,Sprite 1.5L,Drinks & Powdered Beverages,2,75,Bottle,247,30,0,0,Regular sale
TXN-00101,7/3/2025,17:20,P015,Nova Multigrain Snack 40g,"Snacks, Biscuits & Sweets",2,18,Pack,387,45,0,0,Regular sale
TXN-00102,7/3/2025,17:20,P019,Oishi Prawn Crackers,"Snacks, Biscuits & Sweets",9,8,Pack,405,45,0,0,Regular sale
TXN-00103,7/3/2025,17:20,P040,Ariel Detergent Sachet,Laundry & Cleaning,5,8,Sachet,478,55,0,0,Regular sale
TXN-00104,7/3/2025,17:35,P002,Nescafe Classic Sachet,Coffee & Breakfast Items,7,8,Sachet,423,45,0,0,Regular sale
TXN-00105,7/3/2025,17:50,P022,Mineral Water 500ml,Drinks & Powdered Beverages,7,12,Bottle,739,80,0,0,Regular sale
TXN-00106,7/3/2025,18:00,P001,Kopiko Blanca Sachet,Coffee & Breakfast Items,6,13,Sachet,498,55,0,0,Regular sale
TXN-00107,7/3/2025,18:00,P047,Mobile Load 50,Mobile Load & Digital Services,5,50,Load,999,120,0,0,Regular sale
TXN-00108,7/3/2025,18:20,P012,Argentina Corned Beef 150g,"Noodles, Pasta & Canned Goods",4,39,Can,249,30,0,0,Regular sale
TXN-00109,7/3/2025,18:20,P036,Gardenia Tasty Bread,Bread & Bakery,1,78,Loaf,148,18,0,0,Regular sale
TXN-00110,7/3/2025,18:30,P046,Palmolive Shampoo Sachet,Personal Care,5,7,Sachet,348,40,0,0,Regular sale
TXN-00111,7/3/2025,18:35,P018,Fudgee Barr Chocolate,"Snacks, Biscuits & Sweets",6,10,Piece,381,45,0,0,Regular sale
TXN-00112,7/3/2025,18:55,P003,Milo Sachet 24g,Coffee & Breakfast Items,10,12,Sachet,362,45,0,0,Regular sale
TXN-00113,7/3/2025,19:20,P009,Mega Sardines 155g,"Noodles, Pasta & Canned Goods",5,23,Can,341,45,0,0,Regular sale
TXN-00114,7/3/2025,19:30,P043,Zonrox Bleach 250ml,Laundry & Cleaning,1,22,Bottle,219,25,0,0,Regular sale
TXN-00115,7/3/2025,19:35,P007,Lucky Me Pancit Canton,"Noodles, Pasta & Canned Goods",6,17,Pack,602,75,0,0,Regular sale
TXN-00116,7/4/2025,8:35,P018,Fudgee Barr Chocolate,"Snacks, Biscuits & Sweets",4,10,Piece,377,45,0,0,Regular sale
TXN-00117,7/4/2025,8:45,P035,Magic Sarap Sachet,"Condiments, Sauces & Cooking Needs",6,5,Sachet,474,50,0,0,Regular sale
TXN-00118,7/4/2025,9:20,P041,Surf Detergent Sachet,Laundry & Cleaning,3,7,Sachet,489,55,0,0,Regular sale
TXN-00119,7/4/2025,9:20,P047,Mobile Load 50,Mobile Load & Digital Services,7,50,Load,999,120,0,0,Regular sale
TXN-00120,7/4/2025,9:35,P010,Century Tuna 180g,"Noodles, Pasta & Canned Goods",3,43,Can,247,30,0,0,Regular sale
TXN-00121,7/4/2025,10:10,P032,Cooking Oil 250ml,"Condiments, Sauces & Cooking Needs",2,38,Bottle,266,30,0,0,Regular sale
TXN-00122,7/4/2025,10:20,P038,Tender Juicy Hotdog 250g,"Eggs, Chilled & Frozen Items",1,75,Pack,139,18,0,0,Regular sale
TXN-00123,7/4/2025,10:40,P042,Joy Dishwashing Sachet,Laundry & Cleaning,4,8,Sachet,364,40,0,0,Regular sale
TXN-00124,7/4/2025,11:05,P033,Silver Swan Soy Sauce,"Condiments, Sauces & Cooking Needs",3,23,Bottle,250,30,0,0,Regular sale
TXN-00125,7/4/2025,11:50,P005,Great Taste White Sachet,Coffee & Breakfast Items,6,12,Sachet,426,50,0,0,Regular sale
TXN-00126,7/4/2025,11:55,P006,Energen Vanilla Sachet,Coffee & Breakfast Items,2,10,Sachet,306,35,0,0,Regular sale
TXN-00127,7/4/2025,12:45,P049,Face Mask 5pcs,Personal Care,3,20,Pack,183,20,0,0,Regular sale
TXN-00128,7/4/2025,12:55,P015,Nova Multigrain Snack 40g,"Snacks, Biscuits & Sweets",1,18,Pack,386,45,0,0,Regular sale
TXN-00129,7/4/2025,13:00,P028,Tang Orange Sachet,Drinks & Powdered Beverages,1,20,Sachet,256,30,0,0,Regular sale
TXN-00130,7/4/2025,13:55,P034,Datu Puti Vinegar 350ml,"Condiments, Sauces & Cooking Needs",1,18,Bottle,234,25,0,0,Regular sale
TXN-00131,7/4/2025,14:10,P009,Mega Sardines 155g,"Noodles, Pasta & Canned Goods",2,23,Can,339,45,0,0,Regular sale
TXN-00132,7/4/2025,15:10,P022,Mineral Water 500ml,Drinks & Powdered Beverages,5,12,Bottle,734,80,0,0,Regular sale
TXN-00133,7/4/2025,15:20,P002,Nescafe Classic Sachet,Coffee & Breakfast Items,7,8,Sachet,416,45,0,0,Regular sale
TXN-00134,7/4/2025,16:20,P020,Chippy BBQ 27g,"Snacks, Biscuits & Sweets",3,8,Pack,394,45,0,0,Regular sale
TXN-00135,7/4/2025,16:20,P037,Egg Medium,"Eggs, Chilled & Frozen Items",8,9,Piece,740,90,0,0,Regular sale
TXN-00136,7/4/2025,16:30,P031,White Sugar 1/2 Kilo,Rice & Staples,5,38,Pack,313,35,0,0,Regular sale
TXN-00137,7/4/2025,16:55,P011,555 Tuna Afritada 155g,"Noodles, Pasta & Canned Goods",3,32,Can,227,25,0,0,Regular sale
TXN-00138,7/4/2025,17:00,P016,Cloud 9 Classic,"Snacks, Biscuits & Sweets",7,10,Piece,412,50,0,0,Regular sale
TXN-00139,7/4/2025,17:25,P021,Rebisco Crackers,"Snacks, Biscuits & Sweets",6,8,Pack,316,35,0,0,Regular sale
TXN-00140,7/4/2025,17:25,P045,Colgate Sachet,Personal Care,4,7,Sachet,324,35,0,0,Regular sale
TXN-00141,7/4/2025,17:30,P003,Milo Sachet 24g,Coffee & Breakfast Items,5,12,Sachet,357,45,0,0,Regular sale
TXN-00142,7/4/2025,17:40,P025,Royal Tru-Orange 1.5L,Drinks & Powdered Beverages,1,75,Bottle,224,25,0,0,Regular sale
TXN-00143,7/4/2025,17:45,P023,Coca-Cola 1.5L,Drinks & Powdered Beverages,2,75,Bottle,257,35,0,0,Regular sale
TXN-00144,7/4/2025,17:55,P001,Kopiko Blanca Sachet,Coffee & Breakfast Items,9,13,Sachet,489,55,0,0,Regular sale
TXN-00145,7/4/2025,18:00,P004,Bear Brand Powdered Milk,Coffee & Breakfast Items,7,13,Sachet,345,40,0,0,Regular sale
TXN-00146,7/4/2025,18:20,P019,Oishi Prawn Crackers,"Snacks, Biscuits & Sweets",6,8,Pack,399,45,0,0,Regular sale
TXN-00147,7/4/2025,18:20,P024,Sprite 1.5L,Drinks & Powdered Beverages,4,75,Bottle,243,30,0,0,Regular sale
TXN-00148,7/4/2025,18:25,P027,Zesto Orange 200ml,Drinks & Powdered Beverages,4,12,Pack,406,45,0,0,Regular sale
TXN-00149,7/4/2025,18:35,P007,Lucky Me Pancit Canton,"Noodles, Pasta & Canned Goods",8,17,Pack,594,75,0,0,Regular sale
TXN-00150,7/4/2025,18:55,P030,Brown Sugar 1/2 Kilo,Rice & Staples,1,36,Pack,301,35,0,0,Regular sale
TXN-00151,7/4/2025,19:25,P029,Rice per Kilo,Rice & Staples,7,48,Kilo,763,80,0,0,Regular sale
TXN-00152,7/4/2025,19:25,P043,Zonrox Bleach 250ml,Laundry & Cleaning,2,22,Bottle,217,25,0,0,Regular sale
TXN-00153,7/4/2025,19:30,P017,SkyFlakes Crackers,"Snacks, Biscuits & Sweets",6,9,Pack,334,40,0,0,Regular sale
TXN-00154,7/4/2025,19:35,P036,Gardenia Tasty Bread,Bread & Bakery,1,78,Loaf,147,18,0,0,Regular sale
TXN-00155,7/4/2025,19:45,P026,C2 Green Tea 355ml,Drinks & Powdered Beverages,10,20,Bottle,283,35,0,0,Regular sale
TXN-00156,7/4/2025,20:20,P044,Safeguard Soap 60g,Personal Care,4,28,Piece,305,35,0,0,Regular sale
TXN-00157,7/4/2025,20:25,P048,GCash Cash-In Service,Mobile Load & Digital Services,4,10,Service,998,120,0,0,Regular sale
TXN-00158,7/4/2025,20:55,P040,Ariel Detergent Sachet,Laundry & Cleaning,6,8,Sachet,472,55,0,0,Regular sale
TXN-00159,7/5/2025,8:35,P029,Rice per Kilo,Rice & Staples,13,48,Kilo,750,80,0,1,Promo sale
TXN-00160,7/5/2025,9:05,P034,Datu Puti Vinegar 350ml,"Condiments, Sauces & Cooking Needs",1,18,Bottle,233,25,0,1,Promo sale
TXN-00161,7/5/2025,9:20,P046,Palmolive Shampoo Sachet,Personal Care,4,7,Sachet,344,40,0,1,Promo sale
TXN-00162,7/5/2025,9:30,P017,SkyFlakes Crackers,"Snacks, Biscuits & Sweets",4,9,Pack,330,40,0,1,Promo sale
TXN-00163,7/5/2025,9:35,P006,Energen Vanilla Sachet,Coffee & Breakfast Items,9,10,Sachet,297,35,0,1,Promo sale
TXN-00164,7/5/2025,10:05,P012,Argentina Corned Beef 150g,"Noodles, Pasta & Canned Goods",3,39,Can,246,30,0,1,Promo sale
TXN-00165,7/5/2025,10:40,P044,Safeguard Soap 60g,Personal Care,7,28,Piece,298,35,0,1,Promo sale
TXN-00166,7/5/2025,11:10,P009,Mega Sardines 155g,"Noodles, Pasta & Canned Goods",4,23,Can,335,45,0,1,Promo sale
TXN-00167,7/5/2025,11:30,P016,Cloud 9 Classic,"Snacks, Biscuits & Sweets",1,10,Piece,411,50,0,1,Promo sale
TXN-00168,7/5/2025,11:30,P033,Silver Swan Soy Sauce,"Condiments, Sauces & Cooking Needs",5,23,Bottle,245,30,0,1,Promo sale
TXN-00169,7/5/2025,11:30,P039,Eden Cheese 160g,"Eggs, Chilled & Frozen Items",5,68,Pack,153,20,0,1,Promo sale
TXN-00170,7/5/2025,12:20,P014,Piattos Cheese 40g,"Snacks, Biscuits & Sweets",3,18,Pack,494,60,0,1,Promo sale
TXN-00171,7/5/2025,12:55,P021,Rebisco Crackers,"Snacks, Biscuits & Sweets",5,8,Pack,311,35,0,1,Promo sale
TXN-00172,7/5/2025,12:55,P048,GCash Cash-In Service,Mobile Load & Digital Services,2,10,Service,998,120,0,1,Promo sale
TXN-00173,7/5/2025,13:45,P050,Ballpen Black,School & Office Supplies,7,10,Piece,210,25,0,1,Promo sale
TXN-00174,7/5/2025,13:50,P027,Zesto Orange 200ml,Drinks & Powdered Beverages,4,12,Pack,402,45,0,1,Promo sale
TXN-00175,7/5/2025,14:10,P024,Sprite 1.5L,Drinks & Powdered Beverages,3,75,Bottle,240,30,0,1,Promo sale
TXN-00176,7/5/2025,14:10,P026,C2 Green Tea 355ml,Drinks & Powdered Beverages,10,20,Bottle,273,35,0,1,Promo sale
TXN-00177,7/5/2025,14:15,P005,Great Taste White Sachet,Coffee & Breakfast Items,15,12,Sachet,411,50,0,1,Promo sale
TXN-00178,7/5/2025,14:35,P038,Tender Juicy Hotdog 250g,"Eggs, Chilled & Frozen Items",4,75,Pack,135,18,0,1,Promo sale
TXN-00179,7/5/2025,14:40,P020,Chippy BBQ 27g,"Snacks, Biscuits & Sweets",12,8,Pack,382,45,0,1,Promo sale
TXN-00180,7/5/2025,14:50,P047,Mobile Load 50,Mobile Load & Digital Services,6,50,Load,999,120,0,1,Promo sale
TXN-00181,7/5/2025,15:10,P004,Bear Brand Powdered Milk,Coffee & Breakfast Items,7,13,Sachet,338,40,0,1,Promo sale
TXN-00182,7/5/2025,15:25,P042,Joy Dishwashing Sachet,Laundry & Cleaning,10,8,Sachet,354,40,0,1,Promo sale
TXN-00183,7/5/2025,15:55,P003,Milo Sachet 24g,Coffee & Breakfast Items,3,12,Sachet,354,45,0,1,Promo sale
TXN-00184,7/5/2025,15:55,P015,Nova Multigrain Snack 40g,"Snacks, Biscuits & Sweets",3,18,Pack,383,45,0,1,Promo sale
TXN-00185,7/5/2025,16:20,P019,Oishi Prawn Crackers,"Snacks, Biscuits & Sweets",12,8,Pack,387,45,0,1,Promo sale
TXN-00186,7/5/2025,16:20,P032,Cooking Oil 250ml,"Condiments, Sauces & Cooking Needs",5,38,Bottle,261,30,0,1,Promo sale
TXN-00187,7/5/2025,16:25,P023,Coca-Cola 1.5L,Drinks & Powdered Beverages,7,75,Bottle,250,35,0,1,Promo sale
TXN-00188,7/5/2025,16:55,P022,Mineral Water 500ml,Drinks & Powdered Beverages,8,12,Bottle,726,80,0,1,Promo sale
TXN-00189,7/5/2025,17:00,P008,Lucky Me Beef Noodles,"Noodles, Pasta & Canned Goods",9,11,Pack,491,55,0,1,Promo sale
TXN-00190,7/5/2025,17:30,P041,Surf Detergent Sachet,Laundry & Cleaning,5,7,Sachet,484,55,0,1,Promo sale
TXN-00191,7/5/2025,17:50,P007,Lucky Me Pancit Canton,"Noodles, Pasta & Canned Goods",6,17,Pack,588,75,0,1,Promo sale
TXN-00192,7/5/2025,17:50,P035,Magic Sarap Sachet,"Condiments, Sauces & Cooking Needs",7,5,Sachet,467,50,0,1,Promo sale
TXN-00193,7/5/2025,18:10,P010,Century Tuna 180g,"Noodles, Pasta & Canned Goods",4,43,Can,243,30,0,1,Promo sale
TXN-00194,7/5/2025,18:10,P040,Ariel Detergent Sachet,Laundry & Cleaning,5,8,Sachet,467,55,0,1,Promo sale
TXN-00195,7/5/2025,18:25,P037,Egg Medium,"Eggs, Chilled & Frozen Items",9,9,Piece,731,90,0,1,Promo sale
TXN-00196,7/5/2025,19:55,P036,Gardenia Tasty Bread,Bread & Bakery,2,78,Loaf,145,18,0,1,Promo sale
TXN-00197,7/5/2025,20:35,P002,Nescafe Classic Sachet,Coffee & Breakfast Items,11,8,Sachet,405,45,0,1,Promo sale
TXN-00198,7/6/2025,8:00,P038,Tender Juicy Hotdog 250g,"Eggs, Chilled & Frozen Items",2,75,Pack,133,18,0,0,Weekend demand
